# Bris star catalog source data.
#
# AUTOGENERATED by scripts/import_bsc.py from the Yale Bright Star
# Catalogue (BSC5) at https://cdsarc.cds.unistra.fr/ftp/V/50/.
# Do not hand-edit; rerun the importer to refresh.
#
# Format: tab-separated, one star per line, '#' starts a comment.
# Columns:
#   hr           Yale BSC number (primary key).
#   hip          Hipparcos number, 0 if not cross-referenced.
#   name         Conventional name, spaces replaced by '_'.
#   ra_deg       Right ascension in decimal degrees, J2000.0.
#   dec_deg      Declination in decimal degrees, J2000.0.
#   pm_ra_mas    Proper motion in RA, mas/yr (dα/dt × cos δ).
#   pm_dec_mas   Proper motion in declination, mas/yr.
#   parallax_mas Trigonometric parallax in milliarcseconds.
#   vmag         Apparent visual magnitude.
#   nav57        '*' if one of the 57 standard navigational stars.
#
# hr	hip	name	ra_deg	dec_deg	pm_ra_mas	pm_dec_mas	parallax_mas	vmag	nav57
251	0	HR251	13.301667	-24.776944	98.00	37.00	6.00	6.46	
252	0	Lam1Tuc	13.101250	-69.504444	-7.00	-86.00	0.00	6.22	
253	0	26Ups1Cas	13.750417	58.972778	-32.00	-43.00	6.00	4.83	
254	0	66____Psc	13.646667	19.188333	18.00	-14.00	14.00	5.74	
255	0	21____Cet	13.573333	-8.740833	18.00	-52.00	0.00	6.16	
256	0	HR256	13.771667	48.678611	-22.00	-6.00	0.00	6.27	
257	0	HR257	13.407917	-62.871389	73.00	4.00	0.00	5.70	
258	0	36____And	13.741667	23.628333	131.00	-31.00	22.00	5.47	
259	0	HR259	13.811250	24.556944	20.00	-15.00	0.00	6.20	
260	0	HR260	14.053750	57.996667	37.00	-14.00	0.00	6.21	
261	0	HR261	14.231667	68.776111	137.00	-21.00	0.00	6.37	
262	0	67____Psc	13.993750	27.209444	-20.00	13.00	0.00	6.09	
263	0	HR263	13.926667	-7.347222	-7.00	-46.00	0.00	5.85	
264	0	27Gam_Cas	14.177083	60.716667	26.00	-5.00	16.00	2.47	
265	0	28Ups2Cas	14.165833	59.181111	-92.00	-46.00	51.00	4.63	
266	0	HR266	14.196250	60.362778	32.00	-8.00	7.00	5.55	
267	0	22Phi3Cet	14.006250	-11.266667	-20.00	-8.00	9.00	5.31	
268	0	HR268	13.981250	-27.775556	0.00	2.00	0.00	6.10	
269	0	37Mu__And	14.188333	38.499444	152.00	33.00	39.00	3.87	
270	0	Lam2Tuc	13.751250	-69.526944	6.00	-45.00	35.00	5.45	
271	0	38Eta_And	14.301667	23.417500	-44.00	-48.00	9.00	4.42	
272	0	HR272	14.415417	45.839722	13.00	5.00	0.00	6.12	
